NAME,ADDRESS,CITY,STATE,ZIP,PHONE,CAPACITY,RESERVED
More Than A Home Living Inc - Support Housing St Louis,10017 Sheldon Drive,St Louis,MO,63137,(314) 867-2322,140,95
Haven Of Grace St. Louis,1225 Warren St,St Louis,MO,63106,(314)621-6507,134,134
Stepping Into The Light Ministry,1402 Hebert Street,St Louis,MO,63107,314-231-5175,120,104
St Louis Transitional Hope House,1611 Hodiamont Ave,St Louis,MO,63112,(314) 382-3801,132,108
Faith House St Louis,5355 Page Blvd,St Louis,MO,63112,(314)367-5400,110,110
Peter And Paul Community Services St. Louis,1025 Park Ave,St Louis,MO,63104,(314)588-7111,139,117
St. Louis Reinvestment St. Louis,"55 Plaza Sq, Rm 202",St Louis,MO,63103,(314)588-9334,102,94
Project Cope St. Louis,3529 Marcus Ave,St Louis,MO,63115,,110,105
Beyond Housing-neighborhood Housing Services St. Louis,4156 Manchester,St Louis,MO,63110,,141,124
Regional Housing And Community Development Alliance St. Louis,"611 Olive, Suite 1641",St Louis,MO,63101,(314)333-7007,102,94
"Better Family Life, Inc. St. Louis","5535 Delmar Blvd., Suite 2100",St Louis,MO,63112,314-367-1843,132,123
Beyond Housing St. Louis,4156 Manchester Avenue,St Louis,MO,63110,314-533-0600,115,100
Catholic Charities Housing Resource Center St. Louis,800 N. Tucker Blvd.,St Louis,MO,63101,314-241-5600,129,99
"Clearpoint Financial Solutions, Inc. St. Louis",1300 Hampton Ave. West Park,St Louis,MO,63139,877-877-1995,126,92
Community Action Agency Of St. Louis County (aka: Caastlc) St. Louis,2709 Woodson,St Louis,MO,63114,314-863-0015,118,106
Housing Options Provided For The Elderly St. Louis,4265 Shaw Blvd,St Louis,MO,63110,314-776-0155,138,103
Justine Petersen Housing And Reinvestment Cor St. Louis,1023 N. Grand Blvd.,St Louis,MO,63106,314-533-2411,112,105
"Naca (neighborhood Assistance Corporation Of America) St. Louis, Mo St. Louis","3930 Lindell Blvd., 2nd Floor",St Louis,MO,63108,314-645-8333,126,111
Nid-hca Carey St. Louis,3620 Finney Avenue,St Louis,MO,63113,314-766-4256,137,101
Urban League Of Metropolitan Saint Louis St. Louis,3701 Grandel Sq,St Louis,MO,63108,314-615-3610,115,95
Urban League Of Metropolitan Saint Louis St. Louis,8960 Jennings Station Road,St Louis,MO,63136,314-388-9840,130,102
Youth Education And Health In Soulard St. Louis,1901 S. 11th St.,St Louis,MO,63104,314-436-1400,134,132
Sunshine Ministries - Emergency Shelter (for Men),1520 N. 13th St.,St Louis,MO,63106,314-231-8209,136,127
Sunshine Ministries - Resident Program (for Men),1520 N. 13th St.,St Louis,MO,63106,314-231-8209,112,99
Covenant House Missouri - Shelter (for Ages 16 To 21),2727 N. Kingshighway Blvd.,St Louis,MO,63113,314-533-2241,132,108
New Life Evangelistic Center - Emergency Shelter,1411 Locust St.,St Louis,MO,63103,314-421-3020,117,113
New Life Evangelistic Center - Emergency Shelter (for Women And Children),5811 Michigan,St Louis,MO,63111,314-832-3615,140,132
Gateway Homeless Services - Christian Service Center (for Single Women And Families),1000 North 19th Street,St Louis,MO,63106,314-802-5444,144,95
Peter And Paul Community Services - Emergency Shelter (for Men),1025 Park Avenue,St Louis,MO,63104,314-588-7111,116,112
Peter And Paul Community Services - Transitional Housing Program (for Men),1025 Park Avenue,St Louis,MO,63104,314-588-7111,148,131
Peter And Paul Community Services - Benedict Joseph Labre Center (for Men),1025 Park Avenue,St Louis,MO,63104,314-588-7111,137,130
Peter And Paul Community Services - Positive Directions Program,1025 Park Avenue,St Louis,MO,63104,314-588-7111,107,95
St. Patrick Center - Assertive Community Treatment,800 North Tucker Boulevard,St Louis,MO,63101,314-802-0700,142,137
St. Patrick Center - Project Protect,800 North Tucker Boulevard,St Louis,MO,63101,314-802-0700,100,95
St. Patrick Center - Night Shelter (for Women),800 North Tucker Boulevard,St Louis,MO,63101,314-802-0700,116,99
St. Patrick Center - Rosati House,800 North Tucker Boulevard,St Louis,MO,63101,314-802-0700,139,137
